YEAR,VEHICLE,PURCHASER,DATE,DEAL
14,F150,ALEXANDRIA,4/8/2019,
19,EXPLORER,DURHAM KIA,4/23/2019,
18,AUDI Q5,PRESTIGE,4/11/2019,
14,EQUINOX,PRESTIGE,4/11/2019,
15,CARAVAN,PRESTIGE,4/11/2019,
13,JOURNEY,PRESTIGE,4/11/2019,
14,MKZ,PRESTIGE,4/11/2019,
17,SANTA FE,PRESTIGE,4/11/2019,
13,F150,AUTO LEASING,3/14/2019,
14,F150,AUTO LEASING,3/14/2019,
16,F150,AUTO LEASING,3/14/2019,
17,F150,AUTO LEASING,3/14/2019,
17,F150,AUTO LEASING,3/14/2019,
8,F250,AUTO LEASING,3/14/2019,
16,F150,TURBOX,4/25/2019,
17,F150,TURBOX,4/25/2019,
16,F150,TURBOX,4/25/2019,
17,F150,AUTO LEASING,3/28/2019,
13,ALTIMA,AUTO LEASING,4/12/2019,
16,SILVERADO,AUTO LEASING,4/12/2019,
14,F150,AUTO LEASING,4/12/2019,
14,MAXIMA,AUTO LEASING,4/12/2019,
15,SILVERADO,AUTO LEASING,4/12/2019,
13,A4,S & D MOTOR,4/24/2019,
15,LEGACY,S & D MOTOR,4/24/2019,
13,ML350,S & D MOTOR,4/24/2019,
14,SPORTAGE,S & D MOTOR,4/24/2019,
8,MERCEDES,S & D MOTOR,4/24/2019,
11,PILOT,S & D MOTOR,4/24/2019,
10,FLEX,TURBOX,4/11/2019,
16,F150,ADESA,4/12/2019,
16,F150,ADESA,4/12/2019,
16,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
18,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
16,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
17,F150,ADESA,4/12/2019,
16,F150,ADESA,4/15/2019,
13,ACCENT,ALEXANDRIA,4/15/2019,
13,FOCUS,ALEXANDRIA,4/15/2019,
11,CRUZE,ALEXANDRIA,4/15/2019,
9,PILOT,ALEXANDRIA,4/15/2019,
10,CHRYS T&C,ALEXANDRIA,4/15/2019,
11,MKS,ALEXANDRIA,4/15/2019,
15,EXPLORER,ADESA,4/15/2019,
16,MAZDA 3,ADESA,4/18/2019,
12,F250,AUTO LEASING,4/16/2019,
17,F150,AUTO LEASING,4/16/2019,
14,F250,AUTO LEASING,4/16/2019,
16,EXPLORER,PRESTIGE,4/10/2019,
11,EXPLORER,ALEXANDRIA,4/23/2019,
13,SAVANA,ALEXANDRIA,4/23/2019,
10,RANGER,ALEXANDRIA,4/23/2019,
14,EDGE,ALEXANDRIA,4/23/2019,
10,EDGE,ALEXANDRIA,4/23/2019,
17,F150,TURBOX,4/25/2019,
16,F150,TURBOX,4/25/2019,
16,F150,TURBOX,4/25/2019,
16,F150,TURBOX,4/25/2019,
17,F150,TURBOX,4/25/2019,
16,F150,TURBOX,4/25/2019,
16,F150,ADESA,4/23/2019,
16,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
18,F150,ADESA,4/23/2019,
18,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
16,F150,ADESA,4/23/2019,
16,F150,ADESA,4/23/2019,
16,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
17,F150,ADESA,4/23/2019,
15,F150,ADESA,4/23/2019,
16,F150,ADESA,4/23/2019,
2,RANGER,SOCKET SCRAP,4/26/2019,
4,F150,SOCKET SCRAP,4/26/2019,
8,ESCAPE,SOCKET SCRAP,4/26/2019,
6,E250,SOCKET SCRAP,4/26/2019,
3,CENTURY,SOCKET SCRAP,4/26/2019,
4,AVIATOR,SOCKET SCRAP,4/26/2019,
2,MDX,SOCKET SCRAP,4/26/2019,
6,FUSION,SOCKET SCRAP,4/26/2019,
6,COBALT,SOCKET SCRAP,4/26/2019,
5,F250,SOCKET SCRAP,4/26/2019,
15,F150,BRONTE AUTO,4/25/2019,
18,F150,ADESA,4/26/2019,
17,F150,ADESA,4/26/2019,
16,F150,ADESA,4/26/2019,
17,F150,ADESA,4/26/2019,
17,F150,ADESA,4/26/2019,
16,F150,ADESA,4/26/2019,
16,F150,ADESA,4/26/2019,
16,F150,ADESA,4/26/2019,
17,F150,ADESA,4/26/2019,
17,F150,ADESA,4/26/2019,
17,F250,ADESA,4/26/2019,
10,RIO,ALEXANDRIA,4/30/2019,
10,F150,ALEXANDRIA,4/30/2019,
16,TIGUAN,ALEXANDRIA,4/30/2019,
7,BMW 335I,ALEXANDRIA,4/30/2019,
13,ACCORD,ALEXANDRIA,4/30/2019,
17,F150,ADESA,5/3/2019,
17,F150,ADESA,5/3/2019,
18,F150,ADESA,5/3/2019,
16,F150,ADESA,5/3/2019,
17,F150,ADESA,5/3/2019,
18,F150,ADESA,5/3/2019,
16,F150,ADESA,5/3/2019,
16,F150,ADESA,5/3/2019,
17,F150,ADESA,5/3/2019,
16,F150,ADESA,5/3/2019,
14,SOUL,MANHEIM ARS,5/2/2019,
14,ALTIMA,MANHEIM ARS,5/2/2019,
14,EDGE,MANHEIM ARS,5/2/2019,
9,SIERRA,ALEXANDRIA,5/7/2019,
11,FUSION,ALEXANDRIA,5/7/2019,
11,ARMADA,ALEXANDRIA,5/7/2019,
11,F150,ALEXANDRIA,5/7/2019,
10,FUSION,ALEXANDRIA,5/7/2019,
17,F150,AUTO LEASING,4/28/2019,
13,MKX,AUTO LEASING,4/28/2019,
15,F150,AUTO LEASING,4/28/2019,
13,F150,AUTO LEASING,4/28/2019,
17,F150,AUTO LEASING,4/28/2019,
18,FUSION,AUTO LEASING,4/28/2019,
17,ESCAPE,AUTO LEASING,4/28/2019,
11,ESCALADE,AUTO LEASING,4/28/2019,
15,MKX,AUTO LEASING,4/28/2019,
14,F150,AUTO LEASING,4/28/2019,
10,F150,SOCKET SCRAP,5/3/2019,
6,CARAVAN,SOCKET SCRAP,5/3/2019,
12,FOCUS,SOCKET SCRAP,5/3/2019,
5,ODYSSEY,SOCKET SCRAP,5/3/2019,
16,F150,TURBOX,4/29/2019,
17,F150,TURBOX,5/8/2019,
17,F150,TURBOX,5/8/2019,
16,F150,ADESA,5/8/2019,
15,F150,ADESA,5/10/2019,
17,F150,ADESA,5/10/2019,
16,F150,ADESA,5/10/2019,
17,F150,ADESA,5/10/2019,
18,F150,ADESA,5/10/2019,
16,F150,ADESA,5/10/2019,
17,F150,ADESA,5/10/2019,
18,F150,ADESA,5/10/2019,
16,F150,ADESA,5/10/2019,
16,F150,ADESA,5/10/2019,
16,F150,ADESA,5/10/2019,
17,ESCAPE,SCARSVIEW,5/14/2019,
8,EDGE,ALEXANDRIA,5/13/2019,
8,F450,ALEXANDRIA,5/13/2019,
8,F350,ALEXANDRIA,5/13/2019,
8,ACCORD,ALEXANDRIA,5/13/2019,
9,F150,ALEXANDRIA,5/13/2019,
10,F150,ALEXANDRIA,5/13/2019,
16,F150,TURBOX,5/14/2019,
16,F150,TURBOX,5/14/2019,
17,F150,TURBOX,5/14/2019,
17,F150,TURBOX,5/14/2019,
15,F150,TURBOX,5/14/2019,
17,F150,TURBOX,5/14/2019,
16,F150,TURBOX,5/14/2019,
14,FUSION,MANHEIM,3/20/2019,
12,ALTIMA,MANHEIM,4/11/2019,
13,SIENNA,MANHEIM,3/19/2019,
17,F150,TURBOX,5/16/2019,
15,F150,TURBOX,5/16/2019,
18,F150,TURBOX,5/16/2019,
17,F150,TURBOX,5/16/2019,
15,F150,TURBOX,5/16/2019,
16,F150,TURBOX,5/21/2019,
16,F150,TURBOX,5/21/2019,
16,F150,ADESA,5/13/2019,
13,SONATA,MANHEIM ARS,5/13/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
17,F150,ADESA,5/17/2019,
18,F150,ADESA,5/17/2019,
17,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/17/2019,
16,F150,ADESA,5/21/2019,
16,F150,ADESA,5/21/2019,
16,F150,ADESA,5/23/2019,
18,NAVIGATOR,ADESA,5/24/2019,
16,F150,ADESA,5/24/2019,
16,F150,ADESA,5/24/2019,
18,F150,ADESA,5/24/2019,
15,F150,ADESA,5/24/2019,
17,F150,ADESA,5/24/2019,
16,F150,ADESA,5/24/2019,
18,F150,ADESA,5/24/2019,
16,F150,ADESA,5/24/2019,
18,F150,ADESA,5/24/2019,
17,F150,ADESA,5/24/2019,
15,FOCUS,AUTO LEASING,4/28/2019,
12,AUDI A5,ALEXANDRIA,5/23/2019,
8,DTS,ALEXANDRIA,5/23/2019,
8,ACURA TL,ALEXANDRIA,5/23/2019,
11,ENCLAVE,ALEXANDRIA,5/23/2019,
5,COROLLA,ALEXANDRIA,5/23/2019,
9,F150,ALEXANDRIA,5/23/2019,
17,OPTIMA,DURHAM KIA,5/21/2019,
15,SORENTO,DURHAM KIA,5/21/2019,
16,F150,DURHAM KIA,5/21/2019,
17,F150,ADESA,5/31/2019,
17,F150,ADESA,5/31/2019,
18,F150,ADESA,5/31/2019,
18,F150,ADESA,5/31/2019,
17,F150,ADESA,5/31/2019,
16,F150,ADESA,5/31/2019,
17,F150,ADESA,5/31/2019,
17,F150,ADESA,5/31/2019,
16,F150,ADESA,5/31/2019,
15,F150,ADESA,5/31/2019,
15,F150,ADESA,5/31/2019,
16,F150,ADESA,5/31/2019,
16,MKX,ADESA,5/31/2019,
18,NAVIGATOR,ADESA,5/31/2019,
11,SPRINTER,AUTO LEASING,5/27/2019,
13,EDGE,AUTO LEASING,5/21/2019,
14,TACOMA,AUTO LEASING,5/21/2019,
14,PROMASTER,AUTO LEASING,5/21/2019,
16,F150,AUTO LEASING,5/21/2019,
16,F150,AUTO LEASING,5/21/2019,
9,EDGE,ALEXANDRIA,5/31/2019,
8,ELEMENT,ALEXANDRIA,5/31/2019,
13,ESCAPE,ALEXANDRIA,5/31/2019,
8,TORRENT,ALEXANDRIA,5/31/2019,
13,MAZDA 3,ALEXANDRIA,5/31/2019,
9,EXPEDITION,ALEXANDRIA,5/31/2019,
9,JOURNEY,ALEXANDRIA,5/31/2019,
14,F150,ALEXANDRIA,5/31/2019,
18,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
17,F150,ADESA,6/7/2019,
17,F150,ADESA,6/7/2019,
17,F150,ADESA,6/7/2019,
18,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
17,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,F150,ADESA,6/7/2019,
16,EDGE,ADESA,6/7/2019,
16,MKX,ADESA,6/7/2019,
14,EDGE,AUTO LEASING,5/29/2019,
11,F150,AUTO LEASING,5/29/2019,
8,EQUINOX,SOCKET SCRAP,6/7/2019,
5,PACIFICA,SOCKET SCRAP,6/7/2019,
